Item_Weight,Item_Visibility,Item_Outlet_Sales
9.3,0.016047301,3735.138
5.92,0.019278216,443.4228
17.5,0.016760075,2097.27
19.2,0,732.38
8.93,0,994.7052
10.395,0,556.6088
13.65,0.012741089,343.5528
,0.127469857,4022.7636
16.2,0.016687114,1076.5986
19.2,0.09444959,4710.535
11.8,0,1516.0266
18.5,0.045463773,2187.153
15.1,0.1000135,1589.2646
17.6,0.047257328,2145.2076
16.35,0.0680243,1977.426
9,0.069088961,1547.3192
11.8,0.008596051,1621.8888
9,0.069196376,718.3982
,0.034237682,2303.668
13.35,0.10249212,2748.4224
18.85,0.138190277,3775.086
,0.035399923,4064.0432
14.6,0.025698134,1587.2672
,0.057556998,214.3876
13.85,0.025896485,4078.025
13,0.099887103,838.908
7.645,0.066693437,1065.28
11.65,0.019356132,308.9312
5.925,0.161466534,178.4344
,0.072221801,125.8362
19.25,0.170348551,163.7868
18.6,0.080829372,2741.7644
18.7,0,3068.0064
17.85,0,2174.5028
17.5,0.097904029,2085.2856
10,0.089291137,3791.0652
,0.059511812,2797.6916
8.85,0.113123893,1609.9044
,0.123111453,388.1614
,0.026480954,2180.495
13.35,0.102511504,3435.528
9.8,0.02681843,2150.534
13.6,0.117818348,2527.3768
21.35,0.069102831,6768.5228
12.15,0.042277867,373.5138
6.42,0.089498926,358.2004
19.6,0,2428.8384
10,0.025879577,5815.0972
15.85,0.121632721,2576.646
,0.255394896,780.3176
7.39,0.067779712,3134.5864
10.195,0.159803853,850.8924
9.895,0.028696932,810.9444
10.895,0.065041581,3121.2704
12.15,0.028760013,4815.0656
7.905,0.010053105,6258.52
9.195,0.048157338,2117.244
8.365,0.071958197,796.9626
15.1,0.173481304,4910.275
,0.061082177,892.172
10,0,3185.1872
7.97,0.040071131,1062.6168
,0.012090074,484.7024
,0.15028599,147.8076
,0.026015519,2543.356
17.7,0.195068226,184.4266
19.35,0.033082215,4865.6664
13.65,0.078946455,1118.544
17.6,0.041700756,2302.3364
8.645,0.143422643,2027.361
15.6,0.105296072,3435.528
15.85,0.121531501,599.22
18.25,0,4604.6728
7.855,0.011324862,2285.0256
7.825,0.186357148,5580.7356
8.39,0.024205661,2290.352
12.85,0.033230816,1207.0954
,0.113720344,643.1628
19,0.112556507,1587.933
5.905,0,5305.0944
7.76,0.059352241,1697.79
11.8,0.014087057,1427.4752
16.75,0.045230944,4693.89
,0.293417759,583.2408
,0.031382044,3091.9752
15.5,0.12639886,2479.4392
6.055,0.025403898,2716.464
,0.039057677,3285.723
6.305,0.123115764,661.8052
20.85,0.039624006,1523.3504
20.75,0.040421193,369.519
8.895,0.105274111,690.4346
19.6,0.033970195,1381.535
19.7,0.053212652,622.523
9.8,0.024378706,1274.3412
,0.009714595,487.3656
12.15,0.131383762,1231.73
8.75,0.07461309,3755.112
,0.028459761,4363.6532
8.75,0.074627201,1314.2892
13.3,0.063695084,1805.6496
,0.045797829,2854.9504
8.31,0.115857223,3896.2616
16.75,0.024832806,667.7974
19.75,0.034027909,3185.853
17.1,0.0467696,2247.7408
10.5,0.116576702,1794.331
6.635,0,2530.7058
,0.278974075,679.116
14.15,0.035913805,812.276
13.3,0.079806266,699.09
8.89,0.005505481,2732.4432
,0.064625342,176.437
,0.071636937,4097.3332
9.1,0,3151.8972
7.5,0.032677678,5942.265
16.85,0.160760054,4843.695
7.485,0.06911065,2542.0244
11.6,0.041177505,2552.6772
11.65,0.040081193,1141.847
13,0.035307322,680.4476
