Item_Weight,Item_Fat_Content,Item_Visibility,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
9.3,Low Fat,0.016047301,Medium,Tier 1,Supermarket Type1,2017.619936
5.92,Regular,0.019278216,Medium,Tier 3,Supermarket Type2,1171.07109
17.5,Low Fat,0.016760075,Medium,Tier 1,Supermarket Type1,2017.84948
19.2,Regular,0,,Tier 3,Grocery Store,350
8.93,Low Fat,0,High,Tier 3,Supermarket Type1,1900
10.395,Regular,0,Medium,Tier 3,Supermarket Type2,1150
13.65,Regular,0.012741089,High,Tier 3,Supermarket Type1,1865.263825
,Low Fat,0.127469857,Medium,Tier 3,Supermarket Type3,951.1792504
16.2,Regular,0.016687114,,Tier 2,Supermarket Type1,1469.173494
19.2,Regular,0.09444959,,Tier 2,Supermarket Type1,1551.24996
11.8,Low Fat,0,Medium,Tier 1,Supermarket Type1,2000
18.5,Regular,0.045463773,Small,Tier 1,Supermarket Type1,1696.600367
15.1,Regular,0.1000135,Medium,Tier 1,Supermarket Type1,2053.013905
17.6,Regular,0.047257328,Small,Tier 1,Supermarket Type1,1701.510488
16.35,Low Fat,0.0680243,High,Tier 3,Supermarket Type1,1977.819799
9,Regular,0.069088961,Small,Tier 1,Supermarket Type1,1722.336142
11.8,Low Fat,0.008596051,Medium,Tier 3,Supermarket Type2,1209.03445
9,Regular,0.069196376,Medium,Tier 1,Supermarket Type1,2026.94637
,Low Fat,0.034237682,Medium,Tier 3,Supermarket Type3,839.9553749
13.35,Low Fat,0.10249212,Small,Tier 2,Supermarket Type1,1617.865938
18.85,Regular,0.138190277,High,Tier 3,Supermarket Type1,2008.227867
,Regular,0.035399923,Medium,Tier 3,Supermarket Type3,791.6657094
14.6,Low Fat,0.025698134,Small,Tier 2,Supermarket Type1,1528.113759
,Low Fat,0.057556998,Small,Tier 1,Grocery Store,865.7300917
13.85,Regular,0.025896485,Small,Tier 1,Supermarket Type1,1678.641512
13,Low Fat,0.099887103,,Tier 2,Supermarket Type1,1613.971185
7.645,Regular,0.066693437,Small,Tier 2,Supermarket Type1,1527.164307
11.65,low fat,0.019356132,High,Tier 3,Supermarket Type1,1922.685387
5.925,Regular,0.161466534,,Tier 3,Grocery Store,514.8573312
,Regular,0.072221801,Small,Tier 1,Grocery Store,824.4606768
19.25,Low Fat,0.170348551,,Tier 3,Grocery Store,599.3078047
18.6,Low Fat,0.080829372,Medium,Tier 3,Supermarket Type2,1282.284301
18.7,Low Fat,0,Medium,Tier 3,Supermarket Type2,1200
17.85,Low Fat,0,,Tier 2,Supermarket Type1,1500
17.5,Low Fat,0.097904029,Small,Tier 1,Supermarket Type1,1802.897134
10,Low Fat,0.089291137,Medium,Tier 1,Supermarket Type1,2091.791289
,Regular,0.059511812,Medium,Tier 3,Supermarket Type3,817.0698121
8.85,Regular,0.113123893,Medium,Tier 3,Supermarket Type2,1273.870663
,Regular,0.123111453,Medium,Tier 3,Supermarket Type3,891.0857251
,Low Fat,0.026480954,Medium,Tier 3,Supermarket Type3,831.4858543
13.35,Low Fat,0.102511504,Small,Tier 1,Supermarket Type1,1809.482286
9.8,Low Fat,0.02681843,High,Tier 3,Supermarket Type1,1929.500273
13.6,Low Fat,0.117818348,Medium,Tier 1,Supermarket Type1,2131.720913
21.35,Low Fat,0.069102831,Medium,Tier 3,Supermarket Type2,1272.281561
12.15,Regular,0.042277867,High,Tier 3,Supermarket Type1,1900.479773
6.42,LF,0.089498926,,Tier 3,Grocery Store,496.8378379
19.6,Low Fat,0,,Tier 2,Supermarket Type1,1500
10,Low Fat,0.025879577,,Tier 2,Supermarket Type1,1526.267771
