id,price,service fee,minimum nights,number of reviews,reviews per month,availability 365
1001254,$966 ,$193 ,10,9,0.21,286
1002102,$142 ,$28 ,30,45,0.38,228
1002403,$620 ,$124 ,3,0,,352
1002755,$368 ,$74 ,30,270,4.64,322
1003689,$204 ,$41 ,10,9,0.1,289
1004098,$577 ,$115 ,3,74,0.59,374
1004650,$71 ,$14 ,45,49,0.4,224
1005202,"$1,060 ",$212 ,45,49,0.4,219
1005754,"$1,018 ",$204 ,2,430,3.47,180
1006307,$291 ,$58 ,2,118,0.99,375
1006859,$319 ,$64 ,1,160,1.33,1
1007411,$606 ,$121 ,5,53,0.43,163
1007964,$714 ,$143 ,2,188,1.5,258
1008516,$580 ,$116 ,4,167,1.34,47
1009068,$149 ,$30 ,2,113,0.91,68
1009621,$578 ,,90,27,0.22,100
1010173,$778 ,,2,148,1.2,197
1010725,$656 ,,2,198,1.72,96
1011277,$460 ,,1,260,2.12,325
1011830,"$1,095 ",,3,53,4.44,345
1012382,$281 ,$56 ,7,0,,347
1012934,$477 ,$95 ,3,9,0.07,193
1013487,$133 ,$27 ,2,130,1.09,54
1014039,"$1,050 ",$210 ,1,39,0.37,9
1014591,$816 ,$163 ,2,71,0.61,344
1015144,"$1,175 ",$235 ,2,88,0.73,372
1015696,$530 ,$106 ,1,19,1.37,344
1016248,$274 ,$55 ,4,0,,96
1016800,$209 ,$42 ,10,58,0.49,103
1017353,$432 ,$86 ,3,108,1.11,172
1017905,$666 ,$133 ,14,29,0.24,56
1018457,$770 ,$154 ,3,242,2.04,105
1019010,$512 ,$102 ,2,88,1.42,169
1019562,$858 ,$172 ,4,197,1.65,383
1020114,$545 ,$109 ,3,273,2.37,411
1020667,$191 ,$38 ,1,74,0.66,76
1021219,"$1,111 ",$222 ,4,168,1.41,416
1021771,$203 ,$41 ,60,0,,294
1022323,"$1,097 ",$219 ,2,231,1.96,214
1022876,"$1,020 ",$204 ,1,0,,356
1023428,"$1,010 ",$202 ,1,214,1.81,110
1023980,$563 ,$113 ,2,245,2.08,354
1024533,$370 ,$74 ,3,15,0.39,33
1025085,$687 ,$137 ,7,25,0.23,405
1025637,$856 ,$171 ,4,81,0.69,86
1026190,$62 ,$12 ,7,97,0.84,152
1026742,$435 ,$87 ,,11,0.49,353
1027294,$916 ,$183 ,,248,2.25,26
1027846,$459 ,$92 ,,61,0.52,32
1028399,$363 ,$73 ,,11,0.1,85
1028951,$212 ,$42 ,,135,1.16,
1029503,$728 ,$146 ,,112,1.01,
1030056,$901 ,$180 ,,73,0.63,
1030608,$335 ,$67 ,,82,0.7,
1031160,$254 ,$51 ,,328,2.82,
1031713,$903 ,$181 ,,19,0.22,
1032265,$439 ,$88 ,30,105,0.9,
1032817,"$1,024 ",$205 ,5,19,0.17,
1033369,$658 ,$132 ,2,289,2.49,
1033922,$543 ,$109 ,4,138,1.19,
1034474,$256 ,$51 ,30,21,0.3,
1035026,$294 ,$59 ,2,42,0.38,
1035579,$779 ,$156 ,180,5,0.12,
1036131,$653 ,$131 ,2,66,0.57,
1036683,$303 ,$61 ,30,143,1.33,
1037236,$825 ,$165 ,7,27,0.23,
1037788,$646 ,$129 ,30,191,1.65,
1038340,"$1,037 ",$207 ,3,4,0.16,
1038892,$87 ,$17 ,1,338,4.72,
1039445,$316 ,$63 ,1,148,1.4,
1039997,$735 ,$147 ,1,106,1.26,
1040549,$524 ,$105 ,4,190,1.64,
1041102,$238 ,$48 ,9,49,0.43,
1041654,$603 ,$121 ,7,23,0.43,
1042206,$571 ,$114 ,2,49,1.6,
1042759,$398 ,$80 ,2,105,0.92,
1043311,$618 ,$124 ,5,21,0.2,
